match_id,youtube_video_id,first_period_start,second_period_start
1886347,"bB6icy4v4-M?si=y4rNHOTNCXFQKkx6",280,4012
1899585,"ffst9_91qtU?si=05q7557PKRVYwGyN",268,4167
1925299,"bZPmLqd0Lt8?si=T_HKh6S3LgPsffwZ",276,4222
1953632,"JR2ptwpjkZE?si=etbyiaulSO3dBdxA",207,3993
1996435,"pM4aaMJwivM?si=fPD-zl-ur318V9_5",271,4004
2006229,"-WL9PnvUb5g?si=vez0BBTaHS2zDbEt",4,3761
2011166,"nh0DkEIYNkI?si=Cq1FTmtZcv4akJIZ",284,4163
2013725,"Xt9J2-SkWkM?si=jjqyEknsJaItq2rs",523,4215
2015213,"SwdxyWbt8XQ?si=dbJqE4Y0CPk8CqM2",306,4112
2017461,"iyE2QO9kE0s?si=DxSq71bT6UOIve3N",285,4001
